posX,posY,posZ
1.399222,-3.863157,1.195718
1.405301,-3.877695,1.201364
1.411455,-3.892249,1.206997
1.417695,-3.906837,1.212605
1.423989,-3.921443,1.218181
1.430297,-3.936067,1.223761
1.436602,-3.950680,1.229331
1.442928,-3.965293,1.234923
1.449262,-3.979934,1.240600
1.455542,-3.994620,1.246338
1.461801,-4.009342,1.252185
1.468107,-4.024035,1.258150
1.474389,-4.038747,1.264159
1.480652,-4.053498,1.270193
1.486951,-4.068276,1.276288
1.493244,-4.083118,1.282414
1.499546,-4.098022,1.288526
1.505820,-4.112973,1.294622
1.512040,-4.127953,1.300696
1.518247,-4.142926,1.306848
1.524427,-4.157886,1.313067
1.530574,-4.172868,1.319228
1.536769,-4.187875,1.325332
1.543023,-4.202873,1.331444
1.549291,-4.217857,1.337556
1.555613,-4.232907,1.343640
1.561968,-4.248038,1.349689
1.568313,-4.263196,1.355708
1.574652,-4.278346,1.361747
1.580991,-4.293485,1.367863
1.587353,-4.308666,1.373958
1.593748,-4.323889,1.379994
1.600175,-4.339095,1.386023
1.606644,-4.354281,1.392097
1.613146,-4.369452,1.398244
1.619614,-4.384566,1.404371
1.626016,-4.399687,1.410451
1.632393,-4.414874,1.416470
1.638774,-4.430140,1.422488
1.645211,-4.445460,1.428520
1.651689,-4.460771,1.434450
1.658188,-4.476053,1.440321
1.664749,-4.491315,1.446190
1.671346,-4.506580,1.452017
1.677982,-4.521854,1.457812
1.684653,-4.537168,1.463550
1.691368,-4.552549,1.469253
1.698141,-4.567959,1.474990
1.704912,-4.583349,1.480721
1.711681,-4.598749,1.486479
1.718446,-4.614173,1.492333
1.725213,-4.629600,1.498187
1.732002,-4.645025,1.503973
1.738754,-4.660487,1.509812
1.745505,-4.676014,1.515714
1.752299,-4.691575,1.521664
1.759076,-4.707158,1.527653
1.765839,-4.722783,1.533585
1.772625,-4.738492,1.539474
1.779483,-4.754285,1.545318
1.786400,-4.770127,1.551129
1.793328,-4.786020,1.557035
1.800257,-4.801992,1.562937
1.807209,-4.818030,1.568721
1.814157,-4.834071,1.574475
1.821016,-4.850089,1.580202
1.827841,-4.866137,1.585975
1.834678,-4.882296,1.591823
1.841508,-4.898543,1.597733
1.848368,-4.914814,1.603688
1.855246,-4.931122,1.609603
1.862108,-4.947466,1.615466
1.868994,-4.963873,1.621290
1.875957,-4.980367,1.627072
1.883010,-4.996952,1.632867
1.890092,-5.013609,1.638686
1.897174,-5.030282,1.644506
1.904259,-5.046994,1.650326
1.911313,-5.063772,1.656135
1.918361,-5.080580,1.661934
1.925379,-5.097419,1.667710
1.932390,-5.114280,1.673569
1.939416,-5.131171,1.679471
1.946444,-5.148125,1.685321
1.953517,-5.165089,1.691240
1.960665,-5.182029,1.697317
1.967878,-5.198988,1.703538
1.975133,-5.215953,1.709863
1.982405,-5.232915,1.716203
1.989620,-5.249956,1.722518
1.996759,-5.267078,1.728837
2.003908,-5.284213,1.735209
2.011095,-5.301282,1.741624
2.018311,-5.318334,1.748031
2.025557,-5.335419,1.754470
2.032800,-5.352493,1.760877
2.040063,-5.369591,1.767184
2.047371,-5.386723,1.773525
2.054679,-5.403917,1.779942
2.061959,-5.421137,1.786420
2.069230,-5.438362,1.792929
2.076488,-5.455660,1.799505
2.083800,-5.473046,1.806241
2.091148,-5.490497,1.813068
2.098492,-5.507982,1.819897
2.105869,-5.525501,1.826766
2.113239,-5.543017,1.833669
2.120615,-5.560563,1.840432
2.128027,-5.578161,1.847176
2.135468,-5.595759,1.854091
2.142930,-5.613391,1.861133
2.150445,-5.631020,1.868125
2.158035,-5.648610,1.875032
2.165646,-5.666234,1.881946
2.173265,-5.683871,1.888866
2.180928,-5.701505,1.895797
2.188645,-5.719181,1.902704
2.196413,-5.736921,1.909553
2.204231,-5.754709,1.916354
2.212072,-5.772566,1.923139
2.219902,-5.790469,1.929955
2.227713,-5.808345,1.936852
2.235517,-5.826219,1.943766
2.243319,-5.844132,1.950726
2.251045,-5.862123,1.957764
2.258702,-5.880157,1.964804
2.266379,-5.898204,1.971839
2.274089,-5.916298,1.978961
2.281850,-5.934483,1.986177
2.289691,-5.952773,1.993474
2.297565,-5.971079,2.000841
2.305447,-5.989403,2.008215
2.313335,-6.007733,2.015652
2.321255,-6.026067,2.023111
2.329214,-6.044458,2.030483
2.337179,-6.062889,2.037816
2.345155,-6.081326,2.045192
2.353161,-6.099764,2.052607
2.361217,-6.118220,2.060035
2.369288,-6.136632,2.067546
2.377395,-6.154996,2.075157
2.385576,-6.173316,2.082884
2.393852,-6.191627,2.090660
2.402197,-6.210026,2.098433
2.410580,-6.228470,2.106293
2.419014,-6.246911,2.114198
2.427439,-6.265335,2.122088
2.435833,-6.283765,2.129927
2.444200,-6.302256,2.137742
2.452513,-6.320807,2.145598
2.460747,-6.339395,2.153520
2.468892,-6.358025,2.161390
2.476988,-6.376763,2.169162
2.485108,-6.395606,2.176972
2.493248,-6.414471,2.184866
2.501400,-6.433342,2.192783
2.509572,-6.452199,2.200658
2.517739,-6.471020,2.208419
2.525931,-6.489872,2.216067
2.534211,-6.508730,2.223681
2.542579,-6.527583,2.231340
2.551007,-6.546460,2.239085
2.559459,-6.565313,2.246827
2.567908,-6.584180,2.254510
2.576296,-6.603088,2.262138
2.584618,-6.622000,2.269685
2.592921,-6.640930,2.277220
2.601302,-6.659888,2.284788
2.609749,-6.678876,2.292355
2.618153,-6.697898,2.300027
2.626533,-6.716920,2.307840
2.634880,-6.735922,2.315706
2.643194,-6.754960,2.323653
2.651462,-6.774046,2.331600
2.659685,-6.793106,2.339501
2.667925,-6.812142,2.347475
2.676219,-6.831191,2.355508
2.684579,-6.850270,2.363569
2.692968,-6.869389,2.371638
2.701390,-6.888547,2.379717
2.709781,-6.907712,2.387909
